class,fname,x1,y1,x2,y2
14,00001.jpg,39,116,569,375
3,00002.jpg,36,116,868,587
91,00003.jpg,85,109,601,381
134,00004.jpg,621,393,1484,1096
106,00005.jpg,14,36,133,99
123,00006.jpg,259,289,515,416
89,00007.jpg,88,80,541,397
96,00008.jpg,73,79,591,410
167,00009.jpg,20,126,1269,771
58,00010.jpg,21,110,623,367
49,00011.jpg,51,93,601,393
186,00012.jpg,6,62,499,286
135,00013.jpg,30,36,418,307
85,00014.jpg,31,246,778,540
193,00015.jpg,32,77,589,379
172,00016.jpg,27,49,611,396
14,00017.jpg,39,52,233,150
73,00018.jpg,3,8,190,147
192,00019.jpg,247,287,1366,761
57,00020.jpg,17,281,961,596
79,00021.jpg,17,156,695,375
36,00022.jpg,212,538,1893,1131
120,00023.jpg,11,28,476,234
170,00024.jpg,53,126,973,621
194,00025.jpg,34,87,567,343
134,00026.jpg,30,174,598,379
184,00027.jpg,80,107,606,336
86,00028.jpg,45,115,585,382
180,00029.jpg,28,139,1564,1126
194,00030.jpg,82,109,874,521
154,00031.jpg,55,318,446,564
139,00032.jpg,12,31,471,350
66,00033.jpg,34,197,1011,656
133,00034.jpg,37,63,614,397
154,00035.jpg,223,87,1111,670
104,00036.jpg,138,41,521,223
38,00037.jpg,31,87,616,344
97,00038.jpg,16,89,459,326
105,00039.jpg,53,113,614,350
142,00040.jpg,214,110,660,403
13,00041.jpg,61,55,566,408
191,00042.jpg,28,61,622,371
119,00043.jpg,22,39,588,362
38,00044.jpg,220,193,537,364
186,00045.jpg,12,108,489,297
25,00046.jpg,28,80,759,466
194,00047.jpg,84,248,1102,899
177,00048.jpg,142,69,753,451
173,00049.jpg,166,543,887,903
42,00050.jpg,20,96,564,341
91,00051.jpg,41,181,607,465
148,00052.jpg,39,29,774,395
15,00053.jpg,161,191,425,307
97,00054.jpg,58,562,1528,1081
42,00055.jpg,80,120,582,391
53,00056.jpg,32,48,472,267
44,00057.jpg,260,138,972,439
65,00058.jpg,11,35,256,173
90,00059.jpg,68,91,607,354
124,00060.jpg,129,120,345,269
114,00061.jpg,11,104,1011,742
190,00062.jpg,19,21,425,265
101,00063.jpg,175,330,928,647
187,00064.jpg,97,39,925,700
8,00065.jpg,63,175,417,320
17,00066.jpg,30,39,221,125
111,00067.jpg,129,89,594,432
122,00068.jpg,32,43,598,350
5,00069.jpg,142,124,675,445
29,00070.jpg,220,313,1054,976
126,00071.jpg,8,12,639,299
94,00072.jpg,92,271,1178,749
106,00073.jpg,15,12,314,230
106,00074.jpg,14,12,309,223
188,00075.jpg,45,74,522,253
59,00076.jpg,12,27,284,166
110,00077.jpg,25,25,3502,2017
43,00078.jpg,36,88,611,417
133,00079.jpg,165,126,749,425
111,00080.jpg,20,21,292,217
8,00081.jpg,10,55,540,271
192,00082.jpg,63,113,597,413
18,00083.jpg,55,48,294,205
116,00084.jpg,27,67,620,474
49,00085.jpg,15,80,629,402
145,00086.jpg,119,300,1416,871
49,00087.jpg,17,36,455,215
170,00088.jpg,171,176,2373,1751
20,00089.jpg,49,195,1003,617
114,00090.jpg,5,43,296,211
165,00091.jpg,49,57,494,419
138,00092.jpg,101,84,492,272
175,00093.jpg,23,53,258,144
112,00094.jpg,19,60,783,440
122,00095.jpg,110,171,1213,648
104,00096.jpg,39,67,346,206
57,00097.jpg,3,7,76,50
51,00098.jpg,65,37,578,360
37,00099.jpg,27,60,486,364
71,00100.jpg,22,180,454,355
193,00101.jpg,70,39,940,742
105,00102.jpg,99,130,396,222
61,00103.jpg,85,107,609,381
74,00104.jpg,1,76,480,315
133,00105.jpg,57,266,967,623
162,00106.jpg,69,75,236,161
131,00107.jpg,24,17,249,163
88,00108.jpg,7,27,212,147
121,00109.jpg,18,14,248,168
180,00110.jpg,19,2,591,387
180,00111.jpg,52,6,759,513
137,00112.jpg,231,103,430,226
133,00113.jpg,91,148,700,582
71,00114.jpg,19,72,624,397
83,00115.jpg,26,90,376,243
110,00116.jpg,132,120,667,401
42,00117.jpg,84,44,663,342
177,00118.jpg,87,235,591,412
147,00119.jpg,173,370,1207,960
161,00120.jpg,3,19,195,114
109,00121.jpg,49,143,487,455
28,00122.jpg,72,67,233,176
144,00123.jpg,151,568,1954,1271
53,00124.jpg,14,88,271,178
29,00125.jpg,135,761,1894,1353
66,00126.jpg,44,123,778,487
79,00127.jpg,69,103,537,322
13,00128.jpg,86,78,355,284
136,00129.jpg,50,80,592,273
143,00130.jpg,95,161,543,368
171,00131.jpg,275,195,863,474
89,00132.jpg,99,78,557,389
135,00133.jpg,11,126,426,360
161,00134.jpg,1,2,267,185
58,00135.jpg,19,735,2669,2192
122,00136.jpg,21,35,279,195
178,00137.jpg,45,99,593,403
56,00138.jpg,130,282,1425,900
184,00139.jpg,72,215,628,481
191,00140.jpg,62,95,633,434
40,00141.jpg,13,106,476,260
60,00142.jpg,78,300,952,633
155,00143.jpg,72,51,566,412
71,00144.jpg,66,59,283,202
140,00145.jpg,135,36,1181,885
42,00146.jpg,2,5,298,162
76,00147.jpg,8,12,770,309
187,00148.jpg,24,78,608,379
86,00149.jpg,34,1,242,179
8,00150.jpg,11,208,596,386
5,00151.jpg,8,37,294,150
47,00152.jpg,23,66,499,311
30,00153.jpg,6,138,627,361
18,00154.jpg,17,105,385,243
149,00155.jpg,76,4,1585,1120
174,00156.jpg,22,21,211,139
138,00157.jpg,32,130,973,661
179,00158.jpg,75,236,1196,846
24,00159.jpg,37,139,988,694
42,00160.jpg,114,46,546,287
73,00161.jpg,12,83,629,354
176,00162.jpg,38,66,548,385
1,00163.jpg,46,84,661,428
37,00164.jpg,13,29,239,174
36,00165.jpg,27,65,490,220
108,00166.jpg,4,69,402,245
41,00167.jpg,19,27,429,258
40,00168.jpg,110,96,565,389
119,00169.jpg,2,22,140,81
119,00170.jpg,48,71,615,453
19,00171.jpg,41,42,262,170
163,00172.jpg,6,108,493,267
120,00173.jpg,26,61,508,342
54,00174.jpg,13,29,249,159
116,00175.jpg,69,120,739,502
66,00176.jpg,45,85,1005,558
50,00177.jpg,98,22,650,302
122,00178.jpg,5,28,285,148
155,00179.jpg,42,113,601,439
142,00180.jpg,3,40,297,157
68,00181.jpg,84,256,913,752
170,00182.jpg,43,226,1001,630
161,00183.jpg,2,9,196,125
161,00184.jpg,34,51,604,344
133,00185.jpg,24,35,620,438
125,00186.jpg,6,72,255,178
160,00187.jpg,4,408,1600,934
93,00188.jpg,25,162,1241,764
183,00189.jpg,18,15,583,421
45,00190.jpg,198,416,1271,935
143,00191.jpg,129,75,654,422
189,00192.jpg,37,24,259,212
48,00193.jpg,82,107,990,723
176,00194.jpg,187,327,1211,769
77,00195.jpg,150,339,1313,771
190,00196.jpg,26,46,266,213
110,00197.jpg,47,102,492,371
6,00198.jpg,91,121,574,357
191,00199.jpg,151,298,1285,835
16,00200.jpg,30,55,301,187
12,00201.jpg,21,1,386,200
90,00202.jpg,233,217,1228,807
188,00203.jpg,30,167,945,545
128,00204.jpg,11,61,284,151
23,00205.jpg,29,70,612,356
11,00206.jpg,117,222,558,434
93,00207.jpg,31,119,438,258
8,00208.jpg,26,151,360,256
63,00209.jpg,58,136,973,636
173,00210.jpg,8,80,639,366
176,00211.jpg,11,47,598,365
72,00212.jpg,8,20,254,155
195,00213.jpg,37,62,261,191
114,00214.jpg,70,78,915,640
72,00215.jpg,38,50,221,138
119,00216.jpg,21,45,133,88
18,00217.jpg,45,39,594,444
77,00218.jpg,39,94,337,245
18,00219.jpg,89,1,597,316
107,00220.jpg,16,103,462,347
10,00221.jpg,29,21,477,299
196,00222.jpg,89,58,545,338
99,00223.jpg,42,115,299,288
88,00224.jpg,19,10,177,134
121,00225.jpg,20,50,463,313
111,00226.jpg,46,15,202,156
61,00227.jpg,36,63,613,397
141,00228.jpg,237,156,896,365
136,00229.jpg,5,46,255,138
183,00230.jpg,223,542,3692,2478
106,00231.jpg,73,109,606,374
84,00232.jpg,15,110,544,381
194,00233.jpg,276,124,1495,951
132,00234.jpg,99,364,1211,954
111,00235.jpg,59,63,549,404
7,00236.jpg,19,138,571,424
65,00237.jpg,11,10,396,265
26,00238.jpg,163,91,527,346
16,00239.jpg,4,19,255,172
138,00240.jpg,45,60,251,171
170,00241.jpg,32,59,1011,709
102,00242.jpg,10,53,273,167
168,00243.jpg,270,228,727,416
7,00244.jpg,21,93,479,331
61,00245.jpg,22,59,536,238
167,00246.jpg,1,317,1280,945
137,00247.jpg,47,125,850,468
177,00248.jpg,52,167,508,387
153,00249.jpg,6,155,631,450
190,00250.jpg,11,35,246,186
167,00251.jpg,576,466,2994,1953
105,00252.jpg,37,50,253,158
50,00253.jpg,51,105,579,335
131,00254.jpg,21,11,296,141
6,00255.jpg,29,78,734,396
21,00256.jpg,85,215,776,511
31,00257.jpg,23,146,617,329
51,00258.jpg,34,86,227,166
187,00259.jpg,75,254,2514,1929
134,00260.jpg,28,164,698,417
16,00261.jpg,32,79,378,221
103,00262.jpg,158,132,501,293
40,00263.jpg,177,299,730,673
69,00264.jpg,42,72,472,299
55,00265.jpg,15,74,387,195
17,00266.jpg,22,300,786,552
46,00267.jpg,25,133,620,374
74,00268.jpg,49,53,596,398
185,00269.jpg,29,192,605,391
122,00270.jpg,15,70,357,186
174,00271.jpg,11,23,141,80
100,00272.jpg,8,1,590,327
69,00273.jpg,37,65,458,321
20,00274.jpg,31,69,435,310
130,00275.jpg,165,183,495,358
132,00276.jpg,75,93,529,360
173,00277.jpg,72,193,926,613
156,00278.jpg,1,38,251,135
47,00279.jpg,16,31,553,297
107,00280.jpg,3,33,261,176
151,00281.jpg,214,240,387,342
61,00282.jpg,20,97,460,356
105,00283.jpg,112,190,664,342
94,00284.jpg,49,101,942,619
194,00285.jpg,7,20,634,298
195,00286.jpg,116,143,769,713
